work_id,year,period,first_country_known,first_target,corr_country_known,corr_target,international_collaboration,n_author_countries,studied_count
W3135715434,2021,2021-2026,True,True,True,True,True,2,1
W4252753591,2021,2021-2026,True,True,True,True,False,1,1
W3134966325,2021,2021-2026,True,True,True,True,False,1,1
W3135270810,2021,2021-2026,True,True,True,True,True,2,1
W3135886254,2021,2021-2026,True,True,True,False,True,3,1
W4229079298,2021,2021-2026,True,False,True,False,True,4,1
W3133793837,2021,2021-2026,True,True,True,True,True,2,1
W3135733685,2021,2021-2026,True,False,True,True,True,2,1
W3136984557,2021,2021-2026,True,True,True,True,True,2,1
W3157467971,2021,2021-2026,True,True,False,,False,1,1
W3137750772,2021,2021-2026,True,True,True,True,True,2,2
W3111880970,2021,2021-2026,True,True,True,True,False,1,1
W3136814514,2021,2021-2026,True,True,True,True,False,1,1
W3140858089,2021,2021-2026,True,False,True,False,True,2,1
W3190549215,2021,2021-2026,False,,False,,False,0,1
W3153440756,2021,2021-2026,False,,False,,False,0,1
W3148768872,2021,2021-2026,True,True,True,True,False,1,1
W3155270343,2021,2021-2026,True,True,False,,False,1,1
W7208508297,2021,2021-2026,False,,False,,False,0,1
W3152866043,2021,2021-2026,True,True,True,True,False,1,1
W3154882584,2021,2021-2026,True,False,True,False,False,1,0
W3155908596,2021,2021-2026,True,True,True,True,False,1,1
W3159717852,2021,2021-2026,True,True,True,True,True,2,3
W4387000399,2021,2021-2026,False,,False,,False,0,1
W3160865103,2021,2021-2026,False,,False,,False,0,1
W3141267365,2021,2021-2026,True,True,True,True,True,3,1
W3155006118,2021,2021-2026,True,True,True,True,False,1,1
W3154818019,2021,2021-2026,True,True,False,,True,3,1
W3154915794,2021,2021-2026,True,False,True,False,False,1,1
W3153544601,2021,2021-2026,True,True,True,True,True,2,1
W3153801067,2021,2021-2026,False,,False,,False,1,1
W3154518314,2021,2021-2026,True,True,False,,False,1,1
W3157884239,2021,2021-2026,False,,False,,True,2,1
W3113002221,2021,2021-2026,True,True,True,True,True,2,1
W3156618879,2021,2021-2026,True,True,True,True,False,1,1
W3153121613,2021,2021-2026,True,True,True,True,True,3,1
W3183747904,2021,2021-2026,True,True,True,True,True,2,1
W3157467604,2021,2021-2026,True,True,True,True,True,2,1
W3159787585,2021,2021-2026,True,True,False,,False,1,1
W3157662731,2021,2021-2026,True,True,True,True,True,2,1
W3157845095,2021,2021-2026,True,True,False,,False,1,1
W3157853527,2021,2021-2026,True,True,False,,False,1,1
W3158276293,2021,2021-2026,True,True,False,,False,1,1
W3159835972,2021,2021-2026,True,True,True,True,True,3,1
W3159089216,2021,2021-2026,True,True,True,True,False,1,1
W3161785194,2021,2021-2026,True,True,False,,False,1,1
W3160357317,2021,2021-2026,True,False,True,False,True,2,1
W3160151102,2021,2021-2026,True,True,True,True,True,2,1
W3162671375,2021,2021-2026,True,True,True,True,False,1,1
W3171015790,2021,2021-2026,True,True,True,True,False,1,1
W3167205277,2021,2021-2026,False,,False,,False,0,1
W3165436180,2021,2021-2026,True,True,True,True,True,2,1
W3217445700,2021,2021-2026,True,True,True,True,False,1,1
W3119045441,2021,2021-2026,True,False,True,False,False,1,1
W3164963558,2021,2021-2026,True,False,True,False,True,2,1
W3164790675,2021,2021-2026,True,False,True,False,True,3,1
W3169220140,2021,2021-2026,True,True,False,,True,2,1
W3169147575,2021,2021-2026,True,True,True,True,False,1,1
W3165718598,2021,2021-2026,True,False,True,False,False,1,1
W3165457599,2021,2021-2026,True,False,True,False,True,3,1
W3195709746,2021,2021-2026,True,True,False,,False,1,1
W3168764052,2021,2021-2026,True,True,True,True,False,1,1
W3172028458,2021,2021-2026,True,True,True,True,False,1,1
W3173655447,2021,2021-2026,True,True,True,True,True,3,1
W3194521628,2021,2021-2026,True,True,False,,False,1,1
W3200700833,2021,2021-2026,False,,False,,False,1,1
W4287137491,2021,2021-2026,True,True,False,,False,1,1
W4287139764,2021,2021-2026,True,True,False,,False,1,1
W3164382592,2021,2021-2026,True,True,True,True,True,2,1
W3169284248,2021,2021-2026,True,True,False,,True,2,1
W3166958434,2021,2021-2026,True,True,True,True,False,1,1
W3166474790,2021,2021-2026,True,True,False,,False,1,1
W3175527005,2021,2021-2026,True,False,True,False,False,1,1
W3164865984,2021,2021-2026,True,True,True,True,True,2,1
W3169412237,2021,2021-2026,True,True,True,True,False,1,2
W3170122149,2021,2021-2026,True,True,True,True,False,1,1
W3170531845,2021,2021-2026,True,True,True,True,False,1,1
W3173110976,2021,2021-2026,False,,False,,False,0,1
W4287121784,2021,2021-2026,True,True,False,,False,1,1
W3172199828,2021,2021-2026,True,False,True,False,False,1,1
W3191983822,2021,2021-2026,True,True,True,True,False,1,1
W3172295726,2021,2021-2026,True,True,True,True,True,2,1
W3166384968,2021,2021-2026,False,,False,,False,0,1
W3173149923,2021,2021-2026,True,True,True,True,False,1,1
W3174923144,2021,2021-2026,True,True,True,True,True,3,1
W7203448036,2021,2021-2026,True,True,False,,False,1,1
W3174020660,2021,2021-2026,True,True,True,True,False,1,1
W2965325631,2021,2021-2026,True,False,False,,False,1,1
W3173514474,2021,2021-2026,True,True,True,True,False,1,1
W3176329475,2021,2021-2026,True,True,False,,True,2,1
W3176978467,2021,2021-2026,True,True,True,False,True,4,1
W3183557657,2021,2021-2026,True,True,False,,False,1,1
W3178426069,2021,2021-2026,False,,False,,False,0,1
W3183596280,2021,2021-2026,True,True,True,True,True,2,1
W3185176478,2021,2021-2026,False,,False,,False,0,1
W4207003830,2021,2021-2026,True,True,False,,False,1,1
W4214708049,2021,2021-2026,True,True,True,True,True,2,1
W3153515174,2021,2021-2026,True,False,True,False,True,6,1
W3158892029,2021,2021-2026,True,False,False,,True,3,1
W3184477805,2021,2021-2026,True,True,False,,False,1,10
W3186723371,2021,2021-2026,True,True,True,True,False,1,1
W3196027488,2021,2021-2026,True,True,True,True,False,1,1
W4287487209,2021,2021-2026,True,True,True,True,False,1,1
W4386240922,2021,2021-2026,False,,False,,False,0,10
W4386956645,2021,2021-2026,True,True,False,,False,1,1
W3179342822,2021,2021-2026,True,True,True,True,False,1,1
W3180285398,2021,2021-2026,True,True,True,True,True,3,1
W3180327610,2021,2021-2026,True,True,True,True,True,3,1
W3201482074,2021,2021-2026,False,,False,,False,0,1
W3180998168,2021,2021-2026,True,True,True,True,False,1,1
W3216619279,2021,2021-2026,True,True,True,True,False,1,1
W3177623847,2021,2021-2026,True,True,True,False,True,4,1
W3206165457,2021,2021-2026,True,False,False,,False,1,0
W3183940112,2021,2021-2026,True,False,True,False,True,3,1
W3186049202,2021,2021-2026,True,True,True,True,True,2,1
W3184342852,2021,2021-2026,False,,False,,False,0,1
W3186701459,2021,2021-2026,True,False,True,False,True,3,1
W3184326925,2021,2021-2026,True,True,False,,True,3,1
W3206011323,2021,2021-2026,True,True,False,,False,1,1
W3183777648,2021,2021-2026,True,True,False,,False,1,1
W3185684342,2021,2021-2026,True,True,True,True,False,1,1
W3183270517,2021,2021-2026,True,False,True,False,True,5,1
W3184520290,2021,2021-2026,True,False,True,False,True,2,1
W3189401454,2021,2021-2026,True,True,False,,True,2,1
W3190289377,2021,2021-2026,True,True,True,True,False,1,1
W3192885795,2021,2021-2026,True,True,True,True,False,1,1
W4287062989,2021,2021-2026,True,True,False,,False,1,1
W3187290866,2021,2021-2026,True,False,False,,True,2,1
W3187429044,2021,2021-2026,True,True,True,True,False,1,1
W3187397804,2021,2021-2026,False,,False,,False,0,1
W3194677418,2021,2021-2026,True,False,True,False,True,5,1
W3192937136,2021,2021-2026,True,True,True,True,False,1,1
W3192811555,2021,2021-2026,True,False,True,False,True,3,1
W3197806052,2021,2021-2026,True,True,True,True,False,1,1
W3194433701,2021,2021-2026,True,False,True,False,True,3,1
W3194034983,2021,2021-2026,True,True,True,True,False,1,1
W3193403880,2021,2021-2026,True,True,False,,False,1,1
W3195580287,2021,2021-2026,True,True,True,True,True,2,1
W3196087339,2021,2021-2026,True,False,True,False,True,2,1
W3196096077,2021,2021-2026,True,True,True,True,False,1,1
W3195443028,2021,2021-2026,True,True,False,,False,1,1
W3196176049,2021,2021-2026,True,False,True,False,True,3,1
W3194325448,2021,2021-2026,True,True,True,True,True,2,0
W3197904489,2021,2021-2026,True,False,False,,False,1,1
W3216305416,2021,2021-2026,True,False,False,,False,1,1
W7128383027,2021,2021-2026,True,True,False,,True,3,1
W7128401880,2021,2021-2026,True,True,False,,True,3,1
W2910316964,2021,2021-2026,True,False,True,False,False,1,0
W3123892342,2021,2021-2026,True,True,True,True,False,1,1
W3196621779,2021,2021-2026,True,False,False,,False,1,1
W3198155308,2021,2021-2026,True,True,True,True,True,2,1
W3196394937,2021,2021-2026,True,True,False,,False,1,1
W3196535248,2021,2021-2026,True,True,True,True,False,1,1
W3197643440,2021,2021-2026,True,True,False,,True,6,1
W3201484293,2021,2021-2026,True,True,True,True,False,1,1
W3197379184,2021,2021-2026,True,True,True,True,False,1,0
W3197555284,2021,2021-2026,True,True,True,True,False,1,1
W3196925307,2021,2021-2026,True,True,True,True,True,3,1
W7128371979,2021,2021-2026,True,True,False,,True,2,1
W7128390518,2021,2021-2026,True,True,False,,True,2,1
W3197240520,2021,2021-2026,True,False,True,False,False,1,1
W3200407228,2021,2021-2026,True,True,True,True,True,2,1
W3199266684,2021,2021-2026,True,True,True,True,False,1,1
W3203102839,2021,2021-2026,True,False,True,False,True,3,1
W3199493325,2021,2021-2026,True,False,True,False,False,1,0
W3204077594,2021,2021-2026,True,True,False,,False,1,1
W4206994170,2021,2021-2026,True,False,True,False,False,1,0
W3202229214,2021,2021-2026,True,True,True,True,False,1,1
W3201675209,2021,2021-2026,True,False,True,False,False,1,5
W3203995886,2021,2021-2026,False,,False,,False,0,1
W4415152089,2021,2021-2026,True,True,True,True,False,1,1
W3202027239,2021,2021-2026,True,True,True,True,True,2,1
W3203164029,2021,2021-2026,True,True,False,,False,1,1
W3216130213,2021,2021-2026,True,True,True,True,False,1,1
W4287444226,2021,2021-2026,True,True,True,True,False,1,1
W3206113327,2021,2021-2026,True,True,True,True,True,2,1
W7138915701,2021,2021-2026,False,,False,,False,0,0
W3207264306,2021,2021-2026,True,False,True,False,True,2,1
W3209712379,2021,2021-2026,True,True,False,,False,1,1
W3160953218,2021,2021-2026,True,True,True,True,True,2,1
W3191592357,2021,2021-2026,True,False,True,False,True,2,1
W3206707843,2021,2021-2026,True,True,False,,False,1,1
W3207651758,2021,2021-2026,True,False,True,False,True,5,1
W3216860384,2021,2021-2026,True,True,False,,False,1,1
W3205456459,2021,2021-2026,True,False,True,False,False,1,5
W3173165556,2021,2021-2026,True,False,True,False,False,1,1
W3205898131,2021,2021-2026,True,True,True,True,False,1,1
W3206350276,2021,2021-2026,True,True,True,True,False,1,1
W3208679467,2021,2021-2026,True,True,True,True,False,1,1
W3207542969,2021,2021-2026,True,False,True,False,True,5,1
W3206476513,2021,2021-2026,True,True,True,True,True,2,1
W3208067948,2021,2021-2026,True,True,True,True,False,1,1
W3209106107,2021,2021-2026,True,True,True,True,False,1,1
W3209828640,2021,2021-2026,True,False,False,,False,1,1
W3210447818,2021,2021-2026,True,True,True,True,True,4,1
W3211172248,2021,2021-2026,True,True,True,True,False,1,1
W3211063944,2021,2021-2026,True,True,True,True,True,2,1
W27369628,2021,2021-2026,True,False,False,,True,2,1
W3209980579,2021,2021-2026,True,True,True,True,True,2,1
W7165894670,2021,2021-2026,False,,False,,False,0,1
W3208629696,2021,2021-2026,True,True,True,True,False,1,1
W3210193162,2021,2021-2026,True,False,False,,True,3,1
W3210278555,2021,2021-2026,True,False,True,False,True,5,1
W3214945580,2021,2021-2026,True,True,True,True,False,1,1
W4200150536,2021,2021-2026,False,,False,,False,0,4
W4206503695,2021,2021-2026,True,True,True,True,False,1,1
W4206528548,2021,2021-2026,True,True,True,True,False,1,1
W7135297637,2021,2021-2026,False,,False,,False,0,6
W4200577456,2021,2021-2026,True,True,False,,True,2,1
W3208854790,2021,2021-2026,True,False,True,False,False,1,1
W3210475918,2021,2021-2026,True,False,True,False,False,1,0
W3123459293,2021,2021-2026,True,False,True,False,True,2,1
W3212181260,2021,2021-2026,False,,False,,False,1,1
W3212985121,2021,2021-2026,True,True,True,True,True,2,1
W7135037366,2021,2021-2026,False,,False,,False,0,1
W4200054040,2021,2021-2026,True,False,True,False,True,16,1
W3211792805,2021,2021-2026,False,,False,,False,0,1
W3216623474,2021,2021-2026,True,False,True,False,False,1,1
W3214955731,2021,2021-2026,True,True,True,True,False,1,1
W4200251139,2021,2021-2026,True,True,False,,True,5,3
W3217418889,2021,2021-2026,True,False,True,False,False,1,1
W4213253685,2021,2021-2026,True,True,False,,True,2,1
W3215071423,2021,2021-2026,True,False,True,False,False,1,1
W3215645239,2021,2021-2026,True,True,True,True,False,1,1
W4313232974,2021,2021-2026,False,,False,,False,0,1
W4313232986,2021,2021-2026,True,True,True,True,False,1,1
W4205143789,2021,2021-2026,True,True,False,,False,1,1
W3216634619,2021,2021-2026,True,True,True,True,False,1,1
W4285330235,2021,2021-2026,True,True,True,True,False,1,1
W3215848504,2021,2021-2026,True,True,True,True,False,1,1
W3216192697,2021,2021-2026,True,True,False,,False,1,1
W4200054871,2021,2021-2026,True,True,True,True,False,1,1
W4200200414,2021,2021-2026,True,True,True,True,True,2,1
W4200320077,2021,2021-2026,True,True,True,True,True,3,1
