ref1,ref2,cocitations
W2516915067,W2549703245,6
W2112093136,W2549703245,6
W2153603229,W3122664795,6
W2044203638,W2116542195,6
W2031976398,W2772759979,6
W2031976398,W2112093136,6
W2116542195,W2126583499,6
W2044203638,W2152846959,6
W2041725211,W2115011764,6
W2115011764,W2149849126,6
W2149849126,W2516915067,6
W2004745343,W2108970446,6
W2119775317,W2585592226,6
W2061316418,W2112093136,6
W2016834351,W4252307431,5
W1841733224,W2004804433,5
W2132441191,W2132666096,5
W2196182430,W4230973621,5
W2132666096,W4230973621,5
W2102858050,W2132441191,5
W2004804433,W2016834351,5
W1997866269,W2601005047,5
W2126583499,W2149691825,5
W2142114494,W2516915067,5
W2016834351,W2109725907,5
W2114027117,W2128442162,5
W2102858050,W2124360428,5
W2109725907,W2142114494,5
W2108970446,W2126583499,5
W2142114494,W4230973621,5
W2061316418,W2150517994,5
W2006696925,W2102858050,5
W1997866269,W2041725211,5
W2115011764,W2168477744,5
W2016834351,W2170964814,5
W2149691825,W2153603229,5
W2109725907,W2585592226,5
W1841733224,W4252307431,5
W2102858050,W2149691825,5
W2019013274,W2153025271,5
W2137321576,W2601005047,5
W2132666096,W3122664795,5
W2126583499,W2601005047,5
W2150517994,W2516915067,5
W2020999186,W2516915067,5
W2020999186,W2117812349,5
W2061316418,W2161933266,5
W2061316418,W2126583499,5
W3122664795,W3123188741,5
W2019013274,W2516915067,5
W2149691825,W3122664795,5
W2004804433,W2126583499,5
W2004804433,W3122664795,5
W2126583499,W2161933266,5
W2128442162,W2137321576,5
W2117812349,W2128442162,5
W2115011764,W2772759979,5
W2126583499,W4230973621,5
W3123188741,W4230973621,5
W2150517994,W2152846959,5
W2004745343,W2125849337,5
W1997866269,W2150517994,5
W2112093136,W2137321576,5
W2112093136,W2128442162,5
W2019013274,W2161933266,5
W2112093136,W2142114494,5
W2044203638,W2102858050,5
W2102858050,W2132666096,5
W2044203638,W2128442162,5
W2132441191,W2170964814,5
W2031976398,W2153025271,5
W2031976398,W2124360428,5
W2044203638,W2161933266,5
W2044203638,W2117812349,5
W2137321576,W3122664795,5
W2061316418,W2142114494,5
W2004745343,W2044203638,5
W1841733224,W2102858050,5
W2126583499,W2128442162,5
W2147456678,W2585592226,5
W2041725211,W2152846959,5
W2016834351,W2168477744,5
W1981075066,W2006696925,5
W2124360428,W2152846959,5
W2132666096,W2516915067,5
W2153025271,W4252307431,5
W2119775317,W2156885153,5
W2046034301,W2119775317,5
W2119775317,W2152846959,5
W2114027117,W2126583499,5
W2031976398,W2149849126,5
W2116975872,W2132666096,5
W2125849337,W2516915067,5
W2096969338,W2124360428,5
W2061316418,W2125849337,5
W2116975872,W2125849337,5
W2149691825,W2168477744,5
W2109725907,W2150517994,5
W2147456678,W2772759979,5
W2102858050,W2161933266,5
W2031976398,W3122664795,5
W2116542195,W4252307431,5
W2016834351,W2152846959,5
W2153603229,W4230973621,5
W2170964814,W2516915067,5
W2142114494,W2168477744,5
W2020999186,W2124360428,5
W2109725907,W2124360428,5
W2119775317,W4252307431,5
W2112093136,W2150517994,5
W1981075066,W2041725211,5
W2110203502,W2147456678,5
W2772759979,W4252307431,5
W2116975872,W2150517994,5
W1981075066,W2153603229,5
W2020999186,W2132666096,5
W2020999186,W2147456678,5
W2125849337,W2147456678,5
W2110203502,W2168477744,4
W2020999186,W2041725211,4
W2132666096,W2147456678,4
W1997866269,W4230973621,4
W1997866269,W4252307431,4
W2004745343,W4230973621,4
W2006696925,W4230973621,4
W2549703245,W4230973621,4
W2031976398,W2801838590,4
W1997866269,W2020999186,4
W1997866269,W2196182430,4
W2096969338,W2132666096,4
W2112093136,W3122664795,4
W2124360428,W2132441191,4
W2016834351,W2795223612,4
W2196182430,W2549703245,4
W2041725211,W2061316418,4
W2124360428,W4230973621,4
W2126583499,W2549703245,4
W2149691825,W2153025271,4
W2115011764,W2549703245,4
W2132441191,W4252307431,4
W2117812349,W2549703245,4
W1997866269,W2061316418,4
W2041725211,W2772759979,4
W2137321576,W2585592226,4
W2140155984,W2142114494,4
W2132441191,W2152846959,4
W2004745343,W2112093136,4
W2132666096,W2196182430,4
W2041725211,W2149849126,4
W2004804433,W2041725211,4
W2102858050,W2153603229,4
W2019013274,W2041725211,4
W2132441191,W2137321576,4
